Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Організатор,Код ЄДРПОУ,Вартість,Посилання
1936978,Опубліковано: 04.01.2018,Прийом пропозицій до: 22.01.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України",39958500,384 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3152439/
589115,Опубліковано: 28.12.2016,Прийом пропозицій до: 05.01.2017 10:00,Послуги зв'язку Інтернетом проводовими мережами (Постачальники Інтернет-послуг (послуги Інтернет),Департамент (Центр) надання адміністративних послуг виконавчого органу Київської міської ради (Київс,39785346,104 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/885231/
117918,Опубліковано: 15.03.2016,Прийом пропозицій до: 21.03.2016 19:00,61.10.4 послуги зв’язку Інтернетом проводовими мережами (724 Інтернет-послуги),Міністерство економічного розвитку і торгівлі України,37508596,199 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/118287/
519384,Опубліковано: 08.12.2016,Прийом пропозицій до: 26.12.2016 12:00,послуги зв'язку Інтернетом проводовими мережами за кодом ДК 016-2010  61.10.4 (Інтернет-послуги за кодом ДК 021:2015 72400000-4 (доступ до мережі Інтернет)),"Миколаївська філія ДП ""АМПУ""",38728444,18 150 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/752556/
551534,Опубліковано: 16.12.2016,Прийом пропозицій до: 22.12.2016 12:00,послуги зв'язку Інтернетом проводовими мережами за кодом ДК 016-2010  61.10.4 (Інтернет-послуги за кодом ДК 021:2015 72400000-4 (доступ до мережі Інтернет)),"Миколаївська філія ДП ""АМПУ""",38728444,22 266.68 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/810449/
328807,Опубліковано: 26.09.2016,Прийом пропозицій до: 29.09.2016 09:10,Підключення до мережі Інтернет,"Управління культури, туризму та охорони культурної спадщини Дніпровської районної в місті Києві держ",37397258,17 700 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/445098/
2132610,Опубліковано: 15.02.2018,Прийом пропозицій до: 21.02.2018 16:00,Послуги Інтернет,Сумський державний університет,5408289,72 150 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3483557/
1005705,Опубліковано: 05.05.2017,Прийом пропозицій до: 17.05.2017 16:00,Послуги Інтернет,Сумський державний університет,5408289,48 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1599672/
684310,Опубліковано: 31.01.2017,Прийом пропозицій до: 02.02.2017 17:00,Послуги Інтернету,"Заклад культури ""Київський муніципальний академічний театр ляльок""",5495006,7 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1056115/
1586253,Опубліковано: 23.10.2017,Прийом пропозицій до: 26.10.2017 15:30,Послуги провайдерів (Підключення до мережі Інтернет та надання Інтернет послуги),Комунальне підприємство Виконавчого органу Київської міської ради (Київської міської державної адмін,23505151,29 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2547225/
1846869,Опубліковано: 14.12.2017,Прийом пропозицій до: 22.12.2017 18:00,Послуги доступу до мережі Інтернет,ОКВНЗ Дніпропетровський театрально-художній коледж,2214509,25 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2987171/
072564,Опубліковано: 11.12.2015,Прийом пропозицій до: 16.12.2015 15:53,послуги за користування інтернет,"НАЦІОНАЛЬНИЙ ПРИРОДНИЙ ПАРК ""ВЕРХОВИНСЬКИЙ""",37638334,4 200 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/74362/
1656824,Опубліковано: 08.11.2017,Прийом пропозицій до: 13.11.2017 13:00,Послуги провайдерів (Підключення до мережі Інтернет та надання Інтернет послуги),Комунальне підприємство Виконавчого органу Київської міської ради (Київської міської державної адмін,23505151,29 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2668133/
667712,Опубліковано: 26.01.2017,Прийом пропозицій до: 30.01.2017 17:00,Послуги Інтернету,"Заклад культури ""Київський муніципальний академічний театр ляльок""",5495006,7 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1027675/
915240,Опубліковано: 05.04.2017,Прийом пропозицій до: 12.04.2017 17:18,Надання послуг Інтернету,"Міський комунальний заклад культури ""Дніпропетровська дитяча музична школа""  №1",2215845,4 350 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1448265/
779043,Опубліковано: 25.02.2017,Прийом пропозицій до: 01.03.2017 00:00,Послуги доступу до мережі Інтернет (ДК 021-2015) (724 (Інтернет-послуги)),Республіканський науково-методичний кабінет,3768003,12 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1218132/
068472,Опубліковано: 04.12.2015,Прийом пропозицій до: 10.12.2015 17:00,Послуги зв’язку Інтернетом проводовими мережами,"Національна акціонерна компанія ""Нафтогаз України""",20077720,43 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/70356/
057963,Опубліковано: 17.11.2015,Прийом пропозицій до: 20.11.2015 17:00,Послуги зв’язку Інтернетом проводовими мережами,"Національна акціонерна компанія ""Нафтогаз України""",20077720,43 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/60209/
784516,Опубліковано: 28.02.2017,Прийом пропозицій до: 17.03.2017 18:00,ДК 021:2015 код 72410000-7 «Послуги провайдерів» (підключення до мережі Інтернет та надання послуги Інтернет),Управління освіти Дарницької районної в місті Києві державної адміністрації,37448113,850 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1227580/
720815,Опубліковано: 09.02.2017,Прийом пропозицій до: 17.02.2017 15:08,Послуги доступу до мережі Інтернет,ОКВНЗ Дніпропетровський театрально-художній коледж,2214509,24 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1119278/
129552,Опубліковано: 28.03.2016,Прийом пропозицій до: 11.04.2016 16:00,Широкосмуговий доступ до мережі інтернету на 1 квартал,"Комунальний заклад ""Міський дитячо-молодіжний центр"" Дніпропетровської міської ради",37538678,590 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/129671/
303421,Опубліковано: 14.09.2016,Прийом пропозицій до: 21.09.2016 10:02,послуги інтернет,"ГП ""КРАМАТОРСЬКИЙ МІСЦЕВИЙ ЦЕНТР З НАДАННЯ БЕЗОПЛАТНОЇ ВТОРИННОЇ ПРАВОВОЇ ДОПОМОГИ""",39792196,11 840 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/406471/
107456,Опубліковано: 29.02.2016,Прийом пропозицій до: 03.03.2016 18:00,"Послуги зв""язку Інтернетом проводовими мережами (послуги Інтернет-провайдерів за користуванням мережею Інтернет)",Деснянська районна в місті Києві державна адміністрація,37415088,12 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/108119/
620348,Опубліковано: 14.01.2017,Прийом пропозицій до: 20.01.2017 14:00,Постачальники Інтернет-послуг (послуги Інтернет),Департамент (Центр) надання адміністративних послуг виконавчого органу Київської міської ради (Київс,39785346,104 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/950407/
075443,Опубліковано: 18.12.2015,Прийом пропозицій до: 22.12.2015 17:00,Послуги інтернет,"Комунальне підприємство ""Київдорсервіс""",32955518,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/77136/
2086688,Опубліковано: 06.02.2018,Прийом пропозицій до: 08.02.2018 17:00,"Послуги інтернет зв""язку",Фінансове управління Печерської районної в місті Києві державної адміністрації,37451530,3 600 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3403264/
466961,Опубліковано: 21.11.2016,Прийом пропозицій до: 07.12.2016 16:44,Послуги з доступу до мережі Інтернет,ДП Енергоринок,21515381,181 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/666819/
078219,Опубліковано: 30.12.2015,Прийом пропозицій до: 31.12.2015 16:00,інтернет,Міністерство інформаційної політики України,39601044,1 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/79765/
056479,Опубліковано: 12.11.2015,Прийом пропозицій до: 19.11.2015 18:00,Послуги зв'язку Інтернетом проводними мережами (послуги Інтернет),Департамент (Центр) надання адміністративних послуг виконавчого органу Київської міської ради (Київс,39785346,2 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/58773/
076483,Опубліковано: 23.12.2015,Прийом пропозицій до: 24.12.2015 17:00,Послуги зв’язку Інтернетом.,"Комунальне підприємство ""Київдорсервіс""",32955518,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/78131/
890359,Опубліковано: 29.03.2017,Прийом пропозицій до: 01.04.2017 16:00,Послуги надання доступу до мережі Інтернет,обласна бібліотека для дітей Житомирської обласної ради,2222006,8 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1405965/
1948714,Опубліковано: 10.01.2018,Прийом пропозицій до: 26.01.2018 18:00,Послуги провайдерів за кодом ДК 021:2015 – 72410000-7 (послуги доступу до мережі Інтернет) за трьома лотами: -	Лот 1: Послуги доступу до мережі Інтернет – 1000 Мбіт/с; -	Лот 2: Послуги доступу до мережі Інтернет – 200 Мбіт/с; -	Лот 3: Послуги доступу до мережі інтернет (SIP).,Фонд гарантування вкладів фізичних осіб,21708016,86 310 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3169942/
1958792,Опубліковано: 12.01.2018,Прийом пропозицій до: 28.01.2018 15:00,"72410000-7, Послуги провайдерів (послуги безлімітного доступу до мережі Інтернет)",Виконавчий комітет Криворізької міської ради,4052169,410 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3184988/
2071432,Опубліковано: 02.02.2018,Прийом пропозицій до: 09.02.2018 14:10,72410000-7 Послуги провайдерів (Послуги доступу до мережі Інтернет),"Відділ культури, туризму та охорони культурної спадщини Печерської районної в місті Києві державної",37451566,74 195 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3376288/
1932195,Опубліковано: 03.01.2018,Прийом пропозицій до: 18.01.2018 15:13,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"")","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,2 505 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3145389/
214310,Опубліковано: 11.07.2016,Прийом пропозицій до: 15.07.2016 11:08,Послуги зв'язку Інтернетом проводового мережами,"ГП ""РЕГІОНАЛЬНИЙ ЦЕНТР З НАДАННЯ БЕЗОПЛАТНОЇ ВТОРИННОЇ ПРАВОВОЇ ДОПОМОГИ У ЖИТОМИРСЬКІЙ ОБЛАСТІ""",38330021,10 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/274878/
085711,Опубліковано: 25.01.2016,Прийом пропозицій до: 28.01.2016 19:00,Послуги доступу до мережі Інтернет,Міністерство молоді та спорту України,38649881,23 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/86994/
2106578,Опубліковано: 08.02.2018,Прийом пропозицій до: 28.02.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України",39958500,20 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3438157/
994364,Опубліковано: 28.04.2017,Прийом пропозицій до: 15.05.2017 15:30,35. Послуги Інтернет-провайдерів,Господарсько-фінансовий департамент Секретаріату Кабінету міністрів України,19442,208 060 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1579714/
1930285,Опубліковано: 03.01.2018,Прийом пропозицій до: 19.01.2018 16:00,послуги з доступу до мережі Інтернет,ІНСПЕКЦІЯ МІСЬКОЇ РАДИ З БЛАГОУСТРОЮ М.МАРІУПОЛЯ,24451782,9 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3142661/
2055289,Опубліковано: 31.01.2018,Прийом пропозицій до: 08.02.2018 14:35,Підключення до мережі інтернет волоконно-оптичним кабелем з резервуванням інтернет каналу та користування мережею інтернет,"КП ""ОЗДОРОВЛЕННЯ ТА ВІДПОЧИНОК"" ДНІПРОПЕТРОВСЬКОЇ МІСЬКОЇ РАДИ",40909288,78 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3347061/
118503,Опубліковано: 15.03.2016,Прийом пропозицій до: 23.03.2016 18:00,послуги зв'язку інтернетом проводового мережами,Київська міська рада,22883141,18 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/118863/
1772276,Опубліковано: 01.12.2017,Прийом пропозицій до: 11.12.2017 17:00,Послуги доступу до мережі Інтернет,"ВП ХАЕС ДП ""НАЕК ""Енергоатом""",21313677,71 430 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2857385/
191448,Опубліковано: 14.06.2016,Прийом пропозицій до: 21.06.2016 17:00,послуги зв*язку інтернет,Навчально-науковий центр професійно-технічної освіти Національної академії педагогічних наук України,26125035,36 358 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/189615/
201761,Опубліковано: 25.06.2016,Прийом пропозицій до: 06.07.2016 16:00,"Послуги з підключення до мережі інтернет підпрозділу КП ""МТТУ""","Комунальне підприємство ""Маріупольське трамвайно-тролейбусне управління""",5393725,12 500 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/257009/
648100,Опубліковано: 23.01.2017,Прийом пропозицій до: 27.01.2017 16:24,Послуги зв’язку Інтернетом проводовими мережами (послуги зв’язку Інтернетом),Департамент з питань державного архітектурно-будівельного контролю міста Києва виконавчого органу Ки,40224921,14 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/995608/
326479,Опубліковано: 26.09.2016,Прийом пропозицій до: 30.09.2016 16:00,Підключення за допомогою оптоволоконного кабелю та надання послуги доступу до мережі Інтернет,ЖИТОМИРСЬКИЙ ОБЛАСНИЙ ІНСТИТУТ ПІСЛЯДИПЛОМНОЇ ПЕДАГОГІЧНОЇ ОСВІТИ ЖИТОМИРСЬКОЇ ОБЛАСНОЇ РАДИ,2139713,12 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/441590/
295635,Опубліковано: 09.09.2016,Прийом пропозицій до: 15.09.2016 16:00,Послуги із забезпечення доступу до мережі Інтернет за технологією Wi-Fi,Шосткинська виправна колонія управління Державної пенітенціарної служби України в Сумській області (,8565084,121 232.4 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/395071/
2111012,Опубліковано: 12.02.2018,Прийом пропозицій до: 14.02.2018 16:00,Послуги до мереж інтернет,"Управління культури, туризму та охорони культурної спадщини Деснянської районної в місті Києві держа",37501627,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3445778/
272047,Опубліковано: 26.08.2016,Прийом пропозицій до: 30.08.2016 17:40,Послуги інтернет провайдерів,Козятинський місцевий центр з надання безоплатної вторинної правової допомоги,39750659,5 500 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/359600/
097599,Опубліковано: 12.02.2016,Прийом пропозицій до: 18.02.2016 14:00,Доступ до мережі інтернет,Карпатський біосферний заповідник,276104,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/98490/
090411,Опубліковано: 02.02.2016,Прийом пропозицій до: 12.02.2016 10:00,Послуги доступу до мережі інтернет,"Національний історико-архітектурний музей ""Київська фортеця""",2224229,4 700 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/91548/
160590,Опубліковано: 13.05.2016,Прийом пропозицій до: 23.05.2016 12:00,Код ДК 016-2010: 61.10.4 «Послуги зв’язку Інтернет проводовими мережами» за кодом ДК 021:2015 - 72400000-4,"Ренійська філія ДП ""АМПУ""",38728465,44 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/159741/
101931,Опубліковано: 19.02.2016,Прийом пропозицій до: 24.02.2016 12:00,Доступ до мережі інтернет,Карпатський біосферний заповідник,276104,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/102713/
1897792,Опубліковано: 22.12.2017,Прийом пропозицій до: 03.01.2018 18:00,Інтернет послуги,"Санаторно-оздоровчий центр соціальної реабілітації ""Смарагдове місто""",23354172,60 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3084733/
634637,Опубліковано: 19.01.2017,Прийом пропозицій до: 24.01.2017 10:00,72411000-4 – Постачальники інтернет-послуг (підключення до інтернет мережі).,"Київський науково-методичний центр по охороні, реставрації та використанню пам'яток історії, культур",21507625,20 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/973218/
1610002,Опубліковано: 27.10.2017,Прийом пропозицій до: 06.11.2017 18:00,ДК 021:2015 72400000-4 Інтернет-послуги (послуги зв’язку Інтернетом),"Комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги №2"" Дарницького рай",38266365,56 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2586100/
077127,Опубліковано: 25.12.2015,Прийом пропозицій до: 31.12.2015 13:34,Послуги зв’язку Інтернетом проводовими мережами (послуги Інтернет-провайдерів),"Комунальний заклад освіти ""Міський дитячий будинок №1"" Дніпропетровської міської ради",24996843,1 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/78730/
180054,Опубліковано: 02.06.2016,Прийом пропозицій до: 15.06.2016 16:00,Разроблення Інтернет - сайту,"комунальне підприємство ""Маріупольське виробниче управління водопровідно-каналізаційного господарств",3361508,23 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/178464/
695046,Опубліковано: 02.02.2017,Прийом пропозицій до: 09.02.2017 16:10,телекомунікаціні послуги,Департамент цивільного захисту облдержадміністрації,20098691,4 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1074678/
438573,Опубліковано: 11.11.2016,Прийом пропозицій до: 22.11.2016 11:41,"61.10.4 (72411000-4, забезпечення доступу до мережі Інтернет по волоконно-оптичному каналу)",відокремлений підрозділ „Рівненська АЕС” державного підприємства   „Національна атомна енергогенерую,5425046,83 333.33 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/622155/
447263,Опубліковано: 15.11.2016,Прийом пропозицій до: 23.11.2016 12:00,Доступ до мережі Інтернет (основний канал),"ЮЖНЕНСЬКА ФІЛІЯ ДП ""АМПУ""",38728549,50 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/635679/
331340,Опубліковано: 27.09.2016,Прийом пропозицій до: 05.10.2016 00:00,Послуги зв’язку Інтернетом проводовими мережами,"Дитячий спеціалізований санаторій ""Ялинка"" Територіального медичного об'єднання ""САНАТОРНОГО ЛІКУВАН",5415970,40 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/449184/
334020,Опубліковано: 28.09.2016,Прийом пропозицій до: 30.09.2016 16:30,послуги зв'язку Інтернетом проводами мережами,Первомайський місцевий центр з надання безоплатної вторинної правової допомоги,40295861,5 280 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/453149/
493291,Опубліковано: 29.11.2016,Прийом пропозицій до: 07.12.2016 09:00,Прокладання зовнішньої та внутрішньої  високошвидкісної мережі інтернету,"Національний центр народної культури ""Музей Івана Гончара""",21657170,100 393 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/708960/
298754,Опубліковано: 12.09.2016,Прийом пропозицій до: 28.09.2016 16:00,організація структурованої кабельної мережі з підключенням до Інтернету та надання послуги доступу до мережі Інтернет в навчальних закладах м.Запоріжжя,ДЕПАРТАМЕНТ ОСВІТИ І НАУКИ ЗАПОРІЗЬКОЇ МІСЬКОЇ РАДИ,37573094,1 403 960 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/399675/
704399,Опубліковано: 06.02.2017,Прийом пропозицій до: 08.02.2017 16:00,Забезпечення безперервного Інтернет-зв'язку,Київська міська клінічна шкірно-венерологічна лікарня,1994008,6 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1091075/
519242,Опубліковано: 07.12.2016,Прийом пропозицій до: 16.12.2016 18:00,послуги «Доступ до мережі Інтернет»,"ВП ХАЕС ДП ""НАЕК ""Енергоатом""",21313677,81 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/752368/
1979196,Опубліковано: 18.01.2018,Прийом пропозицій до: 25.01.2018 18:00,7240 	Інтернет-послуги,Київська міська клінічна лікарня №1,1981738,50 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3218108/
171741,Опубліковано: 25.05.2016,Прийом пропозицій до: 02.06.2016 12:00,Код ДК 016-2010: 61.10.4 «Послуги зв’язку Інтернет проводовими мережами» за кодом ДК 021:2015 - 72400000-4,"Ренійська філія ДП ""АМПУ""",38728465,44 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/170592/
2070507,Опубліковано: 02.02.2018,Прийом пропозицій до: 06.02.2018 13:00,72411000-4 – Постачальники Інтернет – послуг,"Київський науково-методичний центр по охороні, реставрації та використанню пам'яток історії, культур",21507625,17 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3374662/
660721,Опубліковано: 25.01.2017,Прийом пропозицій до: 31.01.2017 17:00,телекомунікаціні послуги,Департамент цивільного захисту облдержадміністрації,20098691,4 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1015798/
2085326,Опубліковано: 06.02.2018,Прийом пропозицій до: 09.02.2018 12:00,Послуги до мереж інтернет,"Управління культури, туризму та охорони культурної спадщини Деснянської районної в місті Києві держа",37501627,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3401089/
999418,Опубліковано: 03.05.2017,Прийом пропозицій до: 12.05.2017 10:00,телекомунікаційні послуги з доступу до мережі інтернету,"Міське комунальне підприємство ""Центр сучасного поводження з тваринами ""Щасливі тварини""",41083518,4 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1588484/
010893,Опубліковано: 17.09.2015,Прийом пропозицій до: 01.10.2015 10:26,Послуги Інтернет,"Публічне акціонерне товариство ""Державний експортно-імпортний банк України""",32112,48 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/39337/
2086688,Опубліковано: 06.02.2018,Прийом пропозицій до: 08.02.2018 17:00,"Послуги інтернет зв""язку",Фінансове управління Печерської районної в місті Києві державної адміністрації,37451530,3 600 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3403264/
466961,Опубліковано: 21.11.2016,Прийом пропозицій до: 07.12.2016 16:44,Послуги з доступу до мережі Інтернет,ДП Енергоринок,21515381,181 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/666819/
078219,Опубліковано: 30.12.2015,Прийом пропозицій до: 31.12.2015 16:00,інтернет,Міністерство інформаційної політики України,39601044,1 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/79765/
056479,Опубліковано: 12.11.2015,Прийом пропозицій до: 19.11.2015 18:00,Послуги зв'язку Інтернетом проводними мережами (послуги Інтернет),Департамент (Центр) надання адміністративних послуг виконавчого органу Київської міської ради (Київс,39785346,2 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/58773/
076483,Опубліковано: 23.12.2015,Прийом пропозицій до: 24.12.2015 17:00,Послуги зв’язку Інтернетом.,"Комунальне підприємство ""Київдорсервіс""",32955518,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/78131/
890359,Опубліковано: 29.03.2017,Прийом пропозицій до: 01.04.2017 16:00,Послуги надання доступу до мережі Інтернет,обласна бібліотека для дітей Житомирської обласної ради,2222006,8 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1405965/
1948714,Опубліковано: 10.01.2018,Прийом пропозицій до: 26.01.2018 18:00,Послуги провайдерів за кодом ДК 021:2015 – 72410000-7 (послуги доступу до мережі Інтернет) за трьома лотами: -	Лот 1: Послуги доступу до мережі Інтернет – 1000 Мбіт/с; -	Лот 2: Послуги доступу до мережі Інтернет – 200 Мбіт/с; -	Лот 3: Послуги доступу до мережі інтернет (SIP).,Фонд гарантування вкладів фізичних осіб,21708016,86 310 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3169942/
1958792,Опубліковано: 12.01.2018,Прийом пропозицій до: 28.01.2018 15:00,"72410000-7, Послуги провайдерів (послуги безлімітного доступу до мережі Інтернет)",Виконавчий комітет Криворізької міської ради,4052169,410 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3184988/
2071432,Опубліковано: 02.02.2018,Прийом пропозицій до: 09.02.2018 14:10,72410000-7 Послуги провайдерів (Послуги доступу до мережі Інтернет),"Відділ культури, туризму та охорони культурної спадщини Печерської районної в місті Києві державної",37451566,74 195 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3376288/
1932195,Опубліковано: 03.01.2018,Прийом пропозицій до: 18.01.2018 15:13,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"")","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,2 505 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3145389/
214310,Опубліковано: 11.07.2016,Прийом пропозицій до: 15.07.2016 11:08,Послуги зв'язку Інтернетом проводового мережами,"ГП ""РЕГІОНАЛЬНИЙ ЦЕНТР З НАДАННЯ БЕЗОПЛАТНОЇ ВТОРИННОЇ ПРАВОВОЇ ДОПОМОГИ У ЖИТОМИРСЬКІЙ ОБЛАСТІ""",38330021,10 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/274878/
085711,Опубліковано: 25.01.2016,Прийом пропозицій до: 28.01.2016 19:00,Послуги доступу до мережі Інтернет,Міністерство молоді та спорту України,38649881,23 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/86994/
2106578,Опубліковано: 08.02.2018,Прийом пропозицій до: 28.02.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України",39958500,20 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3438157/
994364,Опубліковано: 28.04.2017,Прийом пропозицій до: 15.05.2017 15:30,35. Послуги Інтернет-провайдерів,Господарсько-фінансовий департамент Секретаріату Кабінету міністрів України,19442,208 060 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1579714/
1930285,Опубліковано: 03.01.2018,Прийом пропозицій до: 19.01.2018 16:00,послуги з доступу до мережі Інтернет,ІНСПЕКЦІЯ МІСЬКОЇ РАДИ З БЛАГОУСТРОЮ М.МАРІУПОЛЯ,24451782,9 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3142661/
