Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Компанія,Контакти,Вартість,Посилання
2032358,Опубліковано: 26.01.2018,Прийом пропозицій до: 30.01.2018 17:00,Інтернет послуги,"Театрально-концертний заклад культури ""Київський академічний театр українського фольклору ""Берегиня""","Контактна особа
Преварська Лариса Вячеславівна
380677455454
folkbereginya@i.ua
02152, Україна, Київська обл., Київ, вул.Серафимовича, 3-А
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/teatralnokontsertniy-zaklad-kulturi-kivskiy-akademchniy-teatr-ukranskogo-folkloru-bereginya/",3 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3307729/
2022143,Опубліковано: 25.01.2018,Прийом пропозицій до: 31.01.2018 14:25,Послуги з підключення мережі Інтернет,"Маріупольський міський центр соціальних служб для сім’ї,дітей та молоді Маріупольської міської ради","Контактна особа
Шевчук Володимир Ігорович
+380971981995
margorcentr@gmail.com
87500, Україна, Донецька обл., Маріуполь, бул. Богдана Хмельницького,24а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/marupolskiy-mskiy-tsentr-sotsalnih-sluzhb-dlya-smdtey-ta-molod-marupolsko-msko-radi/",21 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3290639/
2022221,Опубліковано: 25.01.2018,Прийом пропозицій до: 02.02.2018 15:00,Інтернет послуги,"Обласний комунальний заклад освіти ""Криворізька загальноосвітня санаторна школа-інтернат № 8 І-ІІ ст","Контактна особа
Олена Анатоліївна Чередніченко
+380989869445
internat8@i.ua
50047, вул. 23 Лютого, 86а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/oblasniy-komunalniy-zaklad-osvti-krivorzka-zagalnoosvtnya-sanatorna-shkolanternat----st/",9 758.4 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3290781/
2013319,Опубліковано: 24.01.2018,Прийом пропозицій до: 31.01.2018 18:00,Розміщення реклами в інтернеті на сайті OLX.UA.,"ККУП ""ФІНАНСОВА КОМПАНІЯ ""ЖИТЛО-ІНВЕСТ""","Контактна особа
Харченко Сергій Володимирович
380442012068
HSV1979@ukr.net
01034, Україна, Київська обл., Київ, м.Київ, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 42
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/-kkup-fnansova-kompanya-zhitlonvest/",50 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3274167/
2031806,Опубліковано: 26.01.2018,Прийом пропозицій до: 02.02.2018 17:00,Інтернет-послуги,"Комунальний заклад Маріупольської міської ради ""Центр первинної медико-санітарної допомоги №5 м.Марі","Контактна особа
Жмиря Світлана Ігорівна
380675914024
centr5.mariupol@ukr.net
87545, Україна, Донецька обл., Маріуполь, вул. Орджонікідзе, 56
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalniy-zaklad-marupolsko-msko-radi-tsentr-pervinno-medikosantarno-dopomogi--mmar/",3 050 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3306835/
2037462,Опубліковано: 29.01.2018,Прийом пропозицій до: 05.02.2018 13:10,"Прокат вантажних транспортних засобів із водієм для перевезення товарів ДК 021-2015: 60180000-3 (Транспортні, монтажні та навантажувально-розвантажувальні послуги з використанням транспортних засобів спеціального призначення)","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ  (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) ""КИ","Контактна особа
Паливода Юрій Андрійович
380445591333
skripnik.darya@gmail.com
01001, Україна, Київська обл., Київ, ВУЛИЦЯ ВЕЛИКА ЖИТОМИРСЬКА, будинок 15-А
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-pdprimstvo-vikonavchogo-organu-kivradi--kivsko-msko-derzhavno-admnstrats-ki/",997 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3317004/
1846869,Опубліковано: 14.12.2017,Прийом пропозицій до: 22.12.2017 18:00,Послуги доступу до мережі Інтернет,ОКВНЗ Дніпропетровський театрально-художній коледж,"Контактна особа
Олег Гавриш
+380950290998
piva_net@ua.fm
49030, Україна, Дніпропетровська обл., Дніпро, вул. Глінки, буд. 11
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/okvnz-dnpropetrovskiy-teatralnohudozhny-koledzh/",25 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2987171/
1948714,Опубліковано: 10.01.2018,Прийом пропозицій до: 26.01.2018 18:00,Послуги провайдерів за кодом ДК 021:2015 – 72410000-7 (послуги доступу до мережі Інтернет) за трьома лотами: -	Лот 1: Послуги доступу до мережі Інтернет – 1000 Мбіт/с; -	Лот 2: Послуги доступу до мережі Інтернет – 200 Мбіт/с; -	Лот 3: Послуги доступу до мережі інтернет (SIP).,Фонд гарантування вкладів фізичних осіб,"Контактна особа
Ростислав Скрипник
+380686040508
skrypnyk@fg.gov.ua
01032, Україна, Київська обл., Київ, м.Київ, БУЛЬВАР ТАРАСА ШЕВЧЕНКА, будинок 33-Б
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/fond-garantuvannya-vkladv-fzichnih-osb/",86 310 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3169942/
1958792,Опубліковано: 12.01.2018,Прийом пропозицій до: 28.01.2018 15:00,"72410000-7, Послуги провайдерів (послуги безлімітного доступу до мережі Інтернет)",Виконавчий комітет Криворізької міської ради,"Контактна особа
Личана Т В
0564747191
vdzue@i.ua
Україна, Дніпропетровська обл., Кривий Ріг
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vikonavchiy-komtet-krivorzko-msko-radi/",410 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3184988/
118503,Опубліковано: 15.03.2016,Прийом пропозицій до: 23.03.2016 18:00,послуги зв'язку інтернетом проводовими мережами,Київська міська рада,"Контактна особа
Андрей Дергалюк
0442027049
kmr_tender@ukr.net
вул. Хрещатик, 36, м. Київ, 01044
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivska-mska-rada/",18 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/118863/
1979196,Опубліковано: 18.01.2018,Прийом пропозицій до: 25.01.2018 18:00,7240 	Інтернет-послуги,Київська міська клінічна лікарня №1,"Контактна особа
Мічуда Андрій Володимирович
380445633879
tender_kmkl1@ukr.net
02091, Україна, Київська обл., Київ, м.Київ, вул. Харківське шосе, 121
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivska-mska-klnchna-lkarnya-/",50 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3218108/
1960682,Опубліковано: 15.01.2018,Прийом пропозицій до: 25.01.2018 11:17,Послуги провайдерів (підключення до мережі Інтернет та надання послуги Інтернет),Львівський національний аграрний університет,"Контактна особа
Чайка Діана Юріївна
+380671080512
lviv_nau@ukr.net
80381, Україна, Львівська обл., Львів, Львівська обл.Жовківський р-н.,м.Дубляни,вул.В.Великого,1 каб.208
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/lvvskiy-natsonalniy-agrarniy-unversitet/",120 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3187564/
1983880,Опубліковано: 18.01.2018,Прийом пропозицій до: 24.01.2018 16:00,Послуги Інтернету,Орджонікідзевська районна адміністрація Маріупольської  міської ради,"Контактна особа
Комісар Олександр Васильович
380985763937
aleksandr.komisar@mariupolrada.gov.ua
87502, Україна, Донецька обл., Маріуполь, пр.Перемоги,16
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/ordzhonkdzevska-rayonna-admnstratsya-marupolsko--msko-radi/",7 188 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3225657/
1947920,Опубліковано: 10.01.2018,Прийом пропозицій до: 19.01.2018 12:00,ДК 021:2015: 72400000-4 — Інтернет-послуги,Відділ освіти виконавчого комітету Коростенської міської ради,"Контактна особа
Кутишенко Наталія Анатоліївна
30414296283
osvita-kor.tender@ukr.net
Україна, Житомирська обл., КОРОСТЕНЬ
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vddl-osvti-vikonavchogo-komtetu-korostensko-msko-radi/",68 920 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3168702/
1943321,Опубліковано: 09.01.2018,Прийом пропозицій до: 11.01.2018 17:00,Послуги інтернет,"Навчально-виховний комплекс N 100 ""загальносвітній навчальний заклад І-ІІ ступенів - ліцей""","Контактна особа
Елена Маджбур
+380964413214,+380938013233,+380975299432,+3805674
nvklycey100@gmail.com
49044, Україна, Дніпропетровська обл., Дніпро, площа Успенська, 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/navchalnovihovniy-kompleks-n--zagalnosvtny-navchalniy-zaklad--stupenv--ltsey/",13 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3161960/
1812823,Опубліковано: 08.12.2017,Прийом пропозицій до: 15.12.2017 17:00,Послуги доступу до мережі Інтернет,Служба зовнішньої розвідки України,"Контактна особа
Бернацький Віталій Борисович
+380444519337
godz_umrl@ukr.net
04107, Україна, Київська обл., Київ, вул. Нагірна, 24/1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-zovnshno-rozvdki-ukrani/",80 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2926754/
534264,Опубліковано: 13.12.2016,Прийом пропозицій до: 20.12.2016 09:58,Послуги доступу до мережі Інтернет,Служба зовнішньої розвідки України,"Контактна особа
Бернацький Віталій Борисович
+380444519337
godz_umrl@ukr.net
04107, Україна, Київська обл., Київ, вул. Нагірна, 24/1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-zovnshno-rozvdki-ukrani/",80 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/778524/
582121,No data,No data,Інтернет-послуги,"ДП ""Західна філія Державного підприємства ""Український державний центр радіочастот""""","Контактна особа
Владислав Януш
+380504241974
lviv@ucrf.gov.ua
79018, ВУЛ. СТОРОЖЕНКА БУД. 20
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-zahdna-flya-derzhavnogo-pdprimstva-ukranskiy-derzhavniy-tsentr-radochastot/",10 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/870972/
1969579,No data,No data,Послуги щодо забезпечення доступу до інтернету,Вище професійне училище Національного авіаційного університету,"Контактна особа
Данченко Віталій Сергійович
380934503934,380679473787
tender_VPUNAU@ukr.net
03065, Україна, Київська обл., Київ, Метробудівська, 5а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vishche-profesyne-uchilishche-natsonalnogo-avatsynogo-unversitetu/",7 776 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3200745/
1910091,Опубліковано: 27.12.2017,Прийом пропозицій до: 02.01.2018 10:00,ДК 021:2015 72410000-7 Послуги провайдерів (Послуги з надання доступу до мережі інтернет),"ДП ""Бердянскький морський торговельний порт""","Контактна особа
Оксана Іотова
+380957129403
iotova.o.v@bmtport.com.ua
71112, Україна, Запорізька обл., Бердянськ, Україна, Запорізька область, місто Бердянськ, вул.Горького,13/7
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-berdyanskkiy-morskiy-torgovelniy-port/",18 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3108316/
1928422,Опубліковано: 02.01.2018,Прийом пропозицій до: 11.01.2018 12:00,Послуги провайдерів за кодом ДК 021:2015 72410000-7 (доступ до мережі Інтернет),"Миколаївська філія ДП ""АМПУ""","Контактна особа
Побережець Ірина
+380512507357
poberezhets@nik.uspa.gov.ua
54020, Україна, Миколаївська обл., Миколаїв, ВУЛИЦЯ ЗАВОДСЬКА, будинок 23
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/mikolavska-flya-dp-ampu/",8 800 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3139769/
930706,Опубліковано: 10.04.2017,Прийом пропозицій до: 13.04.2017 16:11,Доступ до мережі Інтернет (швидкість не нижче 30720Кбіт/с),Івано-Франківський обласний центр зайнятості,"Контактна особа
Шведюк Любомир Васильович
+380342755586
ifocz@dcz.gov.ua
76002, Україна, Івано-Франківська обл., Івано-Франківськ, вул. Деповська, 89а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vanofrankvskiy-oblasniy-tsentr-zaynyatost/",4 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1472536/
1849640,Опубліковано: 15.12.2017,Прийом пропозицій до: 04.01.2018 18:00,Послуги Інтернет,"ДП ""Укрпошта Сумська дирекція""","Контактна особа
Валерія Юріївна Квач
+380674002740
yurydychnyj_viddil_sumy@ukrposhta.com
40003, Україна, Сумська обл., Суми, пл. Привокзальна, 5
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-ukrposhta-sumska-direktsya/",1 574 648.16 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2993655/
1895668,Опубліковано: 22.12.2017,Прийом пропозицій до: 05.01.2018 14:00,Послуги надання доступу до мережі інтернет на рік,"Комунальне підприємство ""Маріупольське трамвайно-тролейбусне управління""","Контактна особа
Баранова Анастасія Олександрівна
+380629334247
mariupol.ttu@gmail.com
87500, Україна, Донецька обл., Маріуполь, Миколаївська, 92
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-pdprimstvo-marupolske-tramvaynotroleybusne-upravlnnya/",39 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3080834/
73420,Опубліковано: 15.12.2015,Прийом пропозицій до: 21.12.2015 16:00,Послуги доступу до мережі Інтернет,Служба зовнішньої розвідки України,"Контактна особа
Бернацький Віталій Борисович
+380444519337
godz_umrl@ukr.net
04107, Україна, Київська обл., Київ, вул. Нагірна, 24/1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-zovnshno-rozvdki-ukrani/",79 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/75194/
1118620,Опубліковано: 08.06.2017,Прийом пропозицій до: 16.06.2017 19:00,"Статистичні послуги з аналізу змісту інформаційних матеріалів в онлайн ресурсах, інтернет ЗМІ",Міністерство інформаційної політики України,"Контактна особа
Гайдай Сергій Володимирович
080969556271
MIP2015@ukr.net
01032, Україна, Київська обл., Київ, Симона Петлюри, 15
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/mnsterstvo-nformatsyno-poltiki-ukrani/",142 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1789516/
326590,Опубліковано: 26.09.2016,Прийом пропозицій до: 30.09.2016 17:00,Послуги зв'язку Інтернетом проводового мережами,"ДП ""Гайсинський місцевий центр з надання безоплатної вторинної правової допомоги""","Контактна особа
Ірина Воронова
+380975902664
haysyn.vinnytsya@legalaid.gov.ua
Україна, Вінницька обл., Гайсин
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-gaysinskiy-mstseviy-tsentr-z-nadannya-bezoplatno-vtorinno-pravovo-dopomogi/",4 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/441763/
119290,Опубліковано: 16.03.2016,Прийом пропозицій до: 23.03.2016 17:00,Надання телекомукаційних послуг (Інтернет),Служба у справах дітей Святошинської районної в місті Києві державної адміністрації,"Контактна особа
Кривенко Валентина Олексіївна
4072572
ssd-svyatoshin@ukr.net
03148, Україна, Київська обл., Київ, Юри Гната, 9, каб. 422
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-u-spravah-dtey-svyatoshinsko-rayonno-v-mst-kiv-derzhavno-admnstrats/",3 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/119639/
1797899,Опубліковано: 06.12.2017,Прийом пропозицій до: 14.12.2017 17:00,Розміщення реклами в інтернеті.,"ККУП ""ФІНАНСОВА КОМПАНІЯ ""ЖИТЛО-ІНВЕСТ""","Контактна особа
Харченко Сергій Володимирович
380442012068
HSV1979@ukr.net
01034, Україна, Київська обл., Київ, м.Київ, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 42
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/-kkup-fnansova-kompanya-zhitlonvest/",96 500 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2900362/
1986690,Опубліковано: 19.01.2018,Прийом пропозицій до: 24.01.2018 18:00,Постачання інтернет-послуг,"Комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги №3 Дніпровського ра","Контактна особа
Савкова Тетяна Володимирівна
380445584213
centr3dn@ukr.net
02094, Україна, Київська обл., Київ, Червоноткацька,31
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-nekomertsyne-pdprimstvo-tsentr-pervinno-medikosantarno-dopomogi--dnprovskogo-ra/",6 480 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3230200/
1959422,Опубліковано: 13.01.2018,Прийом пропозицій до: 23.01.2018 19:30,Послуги провайдерів,Святогірська загальноосвітня санаторна школа-інтернат І-ІІ ступенів № 12 Донецької обласної ради,"Контактна особа
Тетяна Петрівна Кошова
+380661071757
svatint@ukr.net
Україна, Донецька обл., Слов'янськ
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/svyatogrska-zagalnoosvtnya-sanatorna-shkolanternat--stupenv---donetsko-oblasno-radi/",14 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3186043/
1405328,Опубліковано: 05.09.2017,Прийом пропозицій до: 13.09.2017 18:00,Розміщення реклами в інтернеті.,"ККУП ""ФІНАНСОВА КОМПАНІЯ ""ЖИТЛО-ІНВЕСТ""","Контактна особа
Харченко Сергій Володимирович
380442012068
HSV1979@ukr.net
01034, Україна, Київська обл., Київ, м.Київ, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 42
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/-kkup-fnansova-kompanya-zhitlonvest/",60 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2256031/
1913721,Опубліковано: 27.12.2017,Прийом пропозицій до: 25.01.2018 12:00,Послуги надання доступу до всесвітньої мережі Інтернет для Чернівецької дирекції ПАТ «Укрпошта»,"Чернівецька дирекція УДППЗ ""Укрпошта""","Контактна особа
Оксана Зеленчук
+380502001104,+380372526330
chernivetcka-d@ukrposhta.ua
58002, Україна, Чернівецька обл., Чернівці, м. Чернівці, вул. Поштова, 6
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/chernvetska-direktsya-udppz-ukrposhta/",2 248 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3114672/
143751,Опубліковано: 18.04.2016,Прийом пропозицій до: 20.04.2016 13:00,Послуги зв’язку Інтернетом проводовими мережами (послуги зв’язку Інтернетом),Департамент з питань державного архітектурно-будівельного контролю міста Києва виконавчого органу Ки,"Контактна особа
Петраковський Сергій Олександрович
0934679793
dabk@kievcity.gov.ua
01001, Україна, Київська обл., Київ, вул. Трьохсвятительська, 4-В
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/departament-z-pitan-derzhavnogo-arhtekturnobudvelnogo-kontrolyu-msta-kiva-vikonavchogo-organu-ki/",9 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/143397/
1853025,Опубліковано: 15.12.2017,Прийом пропозицій до: 15.01.2018 15:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"") Лот №1 - 16 точок; Лот №2 - 24 точки; Лот № 3 - 5 точок","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""","Контактна особа
Тетяна Романчук
+380503605006
romanchuk-ta@ukrposhta.ua
10001, Україна, Житомирська обл., Житомир, вул. Вітрука 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-zhitomirska-direktsya-udppz-ukrposhta/",759 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2999851/
1872969,Опубліковано: 19.12.2017,Прийом пропозицій до: 05.01.2018 18:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Тернопільскої  дирекції ПАТ ""Укрпошта"")","ДП ""Тернопільська дирекція УДППЗ ""Укрпошта""""","Контактна особа
Наталія Мирославівна Пастух
+380674009017,+380352526485
juridichniyternopil@ukrposhta.com
46001, Україна, Тернопільська обл., Тернопіль, Чорновола 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-ternoplska-direktsya-udppz-ukrposhta/",1 927 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3038162/
1713559,Опубліковано: 20.11.2017,Прийом пропозицій до: 05.12.2017 17:46,Послуги провайдерів 2 лота: Лот №1 - Телекомунікаційні послуги з доступу до мережі Інтернет для секретаріату Координаційного центру із забезпечення запровадження нового ринку електричної енергії в м. Києві; Лот №2 -  Телекомунікаційні послуги з доступу до мережі Інтернет для секретаріату Координацій...,ДП Енергоринок,"Контактна особа
Сушко Людмила Володимирівна
+380445945972
voz@er.gov.ua
01032, Україна, Київська обл., Київ, вул. Симона Петлюри, 27
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-energorinok/",790 320 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2759714/
1976500,Опубліковано: 17.01.2018,Прийом пропозицій до: 24.01.2018 18:00,Інтернет-послуги,Департамент адміністративних послуг та дозвільних процедур Дніпропетровської міської ради,"Контактна особа
Інна Вовчук
+380984121890
0984121890@ukr.net
49000, Україна, Дніпропетровська обл., Дніпро, ПРОСПЕКТ ДМИТРА ЯВОРНИЦЬКОГО,  75
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/departament-admnstrativnih-poslug-ta-dozvlnih-protsedur-dnpropetrovsko-msko-radi/",199 999 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3213494/
1967131,Опубліковано: 16.01.2018,Прийом пропозицій до: 19.01.2018 16:00,Послуги з надання доступу до мережі інтернет,КУ ЦЕНТР РАННЬОЇ СОЦІАЛЬНОЇ РЕАБІЛІТАЦІЇ ДІТЕЙ-ІНВАЛІДІВ,"Контактна особа
Довганчин Галина Станіславівна
+380444670013
galinadovganchyn@gmail.com

Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/ku-tsentr-ranno-sotsalno-reabltats-dteynvaldv/",18 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3198114/
1813071,Опубліковано: 08.12.2017,Прийом пропозицій до: 15.12.2017 15:00,Послуги доступу до мережі Інтернет,Служба зовнішньої розвідки України,"Контактна особа
Бернацький Віталій Борисович
+380444519337
godz_umrl@ukr.net
04107, Україна, Київська обл., Київ, вул. Нагірна, 24/1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-zovnshno-rozvdki-ukrani/",21 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2927177/
1912484,Опубліковано: 27.12.2017,Прийом пропозицій до: 29.12.2017 16:00,"Надання доступу до глобальної мережі ""Інтернет""",ІЛЛІЧІВСЬКА РАЙОННА АДМІНІСТРАЦІЯ МАРІУПОЛЬСЬКОЇ МІСЬКОЇ РАДИ,"Контактна особа
Марина Максимова
+380687800294
seo504@ukr.net
87524, Україна, Донецька обл., Маріуполь, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 193
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/llchvska-rayonna-admnstratsya-marupolsko-msko-radi/",4 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3112496/
2020173,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 11:43,Телекомунікаційні послуги,"ТОВ ДВНЗ""Могилів-Подільський монтажно-економічний коледж""","Контактна особа
Закревська Тамара Радіонівна
+380433764190
mpmt@ukr.net
Україна, Вінницька обл., Могилів-Подільський
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/tov-dvnzmogilvpodlskiy-montazhnoekonomchniy-koledzh/",4 920 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3287345/
1972603,Опубліковано: 17.01.2018,Прийом пропозицій до: 19.01.2018 16:00,Послуги зв'язку інтернетом,Головне управління Пенсійного фонду України в Черкаській області,"Контактна особа
Нікітенко Олег Юрійович
+380472544353
gu_pfu_prozorro@ukr.net
18002, Україна, Черкаська обл., Черкаси, вул. Смілянська, 23
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/golovne-upravlnnya-pensynogo-fondu-ukrani-v-cherkasky-oblast/",48 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3207149/
2002895,Опубліковано: 23.01.2018,Прийом пропозицій до: 25.01.2018 14:00,Послуги зв'язку Інтернет проводовими мережами,Дарницька районна в місті Києві державна адміністрація,"Контактна особа
Діденко Віталій Георгійович
380445649485
www@drda.gov.ua
02068, Україна, Київська обл., Київ, Кошиця,11
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/darnitska-rayonna-v-mst-kiv-derzhavna-admnstratsya/",30 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3257336/
1936769,Опубліковано: 04.01.2018,Прийом пропозицій до: 15.01.2018 18:00,Послуги з доступу до мережі Інтернет (дублюючий канал),"ПАТ ""НАК НАФТОГАЗ УКРАЇНИ""","Контактна особа
Марина Кузьмич
+380445863619
kuzmych@naftogaz.com
01601, Україна, Київська обл., Київ, м.Київ, вул. Б.Хмельницького, 6
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/pat-nak-naftogaz-ukrani/",49 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3152125/
